Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,tissue,GEO Accession
SRR11869332,13892745,1041955875,75,423,SRX5145178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155559,SAMN10604353,simple,10090,Mus musculus,GSM3518141,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_32m_3_ribo,Kidney,C57BL/6,32 months,Kidney,GSM3518141
SRR11869322,13609634,1020722550,75,412,SRX5145179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155560,SAMN10604363,simple,10090,Mus musculus,GSM3518131,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_20m_1_ribo,Kidney,C57BL/6,20 months,Kidney,GSM3518131
SRR11869323,29633173,2222487975,75,890,SRX5145180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155561,SAMN10604362,simple,10090,Mus musculus,GSM3518132,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_20m_1_rna,Kidney,C57BL/6,20 months,Kidney,GSM3518132
SRR11869324,49821699,2540906649,51,1755,SRX5145181,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155562,SAMN10604361,simple,10090,Mus musculus,GSM3518133,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_20m_2_ribo,Kidney,C57BL/6,20 months,Kidney,GSM3518133
SRR11869325,24284099,1821307425,75,766,SRX5145182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155563,SAMN10604360,simple,10090,Mus musculus,GSM3518134,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_20m_2_rna,Kidney,C57BL/6,20 months,Kidney,GSM3518134
SRR11869326,53566918,2731912818,51,1887,SRX5145183,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155564,SAMN10604359,simple,10090,Mus musculus,GSM3518135,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_20m_3_ribo,Kidney,C57BL/6,20 months,Kidney,GSM3518135
SRR11869327,63407402,5072592160,80,2126,SRX5145184,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155565,SAMN10604358,simple,10090,Mus musculus,GSM3518136,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_20m_3_rna,Kidney,C57BL/6,20 months,Kidney,GSM3518136
SRR11869328,45708712,2331144312,51,1605,SRX5145185,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155566,SAMN10604357,simple,10090,Mus musculus,GSM3518137,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_32m_1_ribo,Kidney,C57BL/6,32 months,Kidney,GSM3518137
SRR11869329,157310030,11798252250,75,4983,SRX5145186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155567,SAMN10604356,simple,10090,Mus musculus,GSM3518138,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_32m_1_rna,Kidney,C57BL/6,32 months,Kidney,GSM3518138
SRR11869330,14083647,1056273525,75,434,SRX5145187,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155568,SAMN10604355,simple,10090,Mus musculus,GSM3518139,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_32m_2_ribo,Kidney,C57BL/6,32 months,Kidney,GSM3518139
SRR11869331,29396897,2204767275,75,873,SRX5145188,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155569,SAMN10604354,simple,10090,Mus musculus,GSM3518140,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_32m_2_rna,Kidney,C57BL/6,32 months,Kidney,GSM3518140
SRR11869333,31534053,2365053975,75,940,SRX5145189,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155570,SAMN10604352,simple,10090,Mus musculus,GSM3518142,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_32m_3_rna,Kidney,C57BL/6,32 months,Kidney,GSM3518142
SRR11869334,13397224,1004791800,75,397,SRX5145190,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155571,SAMN10604368,simple,10090,Mus musculus,GSM3518143,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_1_ribo,Kidney,C57BL/6,3 months,Kidney,GSM3518143
SRR11869335,41695237,3127142775,75,1247,SRX5145191,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155572,SAMN10604367,simple,10090,Mus musculus,GSM3518144,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_1_rna,Kidney,C57BL/6,3 months,Kidney,GSM3518144
SRR11869336,20651731,1548879825,75,617,SRX5145192,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155573,SAMN10604366,simple,10090,Mus musculus,GSM3518145,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_2_ribo,Kidney,C57BL/6,3 months,Kidney,GSM3518145
SRR11869337,28587155,2144036625,75,904,SRX5145193,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155574,SAMN10604365,simple,10090,Mus musculus,GSM3518146,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_2_rna,Kidney,C57BL/6,3 months,Kidney,GSM3518146
SRR11869338,45025479,2296299429,51,1576,SRX5145194,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155575,SAMN10604364,simple,10090,Mus musculus,GSM3518147,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_3_ribo,Kidney,C57BL/6,3 months,Kidney,GSM3518147
SRR11869339,21933395,1645004625,75,691,SRX5145195,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155576,SAMN10604398,simple,10090,Mus musculus,GSM3518148,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_3_rna,Kidney,C57BL/6,3 months,Kidney,GSM3518148
SRR11869340,33359579,1701338529,51,1173,SRX5145196,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155577,SAMN10604397,simple,10090,Mus musculus,GSM3518149,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_4_ribo,Kidney,C57BL/6,3 months,Kidney,GSM3518149
SRR11869341,29586968,2219022600,75,877,SRX5145197,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155578,SAMN10604396,simple,10090,Mus musculus,GSM3518150,GEO,SRA824405,06,2020,Anisimova,Kidney,kidney_3m_4_rna,Kidney,C57BL/6,3 months,Kidney,GSM3518150
SRR11869342,28449692,1450934292,51,1049,SRX5145198,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP173659,PRJNA510416,32576685,"",SRS4155579,SAMN10604395,simple,10090,Mus musculus,GSM3518151,GEO,SRA824405,06,2020,Anisimova,Liver,liver_10m_1_ribo,Liver,C57BL/6,11 months,Liver,GSM3518151
