Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,stress type,replicate,molecule type
SRR18158464,36924938,3692493800,100,2241,SRX14305941,GSM5919960,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122741,SAMN26287201,simple,10090,Mus musculus,GSM5919960,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.h2o2_2h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 2h)",1,PolyA-selected mRNA
SRR18158463,40000000,4e+09,100,2385,SRX14305942,GSM5919961,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122742,SAMN26287200,simple,10090,Mus musculus,GSM5919961,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.h2o2_2h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 2h)",2,PolyA-selected mRNA
SRR18158462,38222500,3822250000,100,2287,SRX14305943,GSM5919962,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122743,SAMN26287199,simple,10090,Mus musculus,GSM5919962,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.h2o2_7h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 7h)",1,PolyA-selected mRNA
SRR18158461,29561368,2956136800,100,1749,SRX14305944,GSM5919963,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122744,SAMN26287198,simple,10090,Mus musculus,GSM5919963,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.h2o2_7h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 7h)",2,PolyA-selected mRNA
SRR18158460,52377057,5237705700,100,3163,SRX14305945,GSM5919964,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122745,SAMN26287197,simple,10090,Mus musculus,GSM5919964,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.h2o2_RNA.kcl_ctrl_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,Control for H2O2 and KCl,1,PolyA-selected mRNA
SRR18158459,41681896,4168189600,100,2500,SRX14305946,GSM5919965,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122746,SAMN26287196,simple,10090,Mus musculus,GSM5919965,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.h2o2_RNA.kcl_ctrl_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,Control for H2O2 and KCl,2,PolyA-selected mRNA
SRR18158458,41858075,4185807500,100,2518,SRX14305947,GSM5919966,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122747,SAMN26287195,simple,10090,Mus musculus,GSM5919966,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.hs_2S_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Heat stress (44°C, 2h)",1,PolyA-selected mRNA
SRR18158457,40126329,4012632900,100,2424,SRX14305948,GSM5919967,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122748,SAMN26287194,simple,10090,Mus musculus,GSM5919967,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.hs_2S_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Heat stress (44°C, 2h)",2,PolyA-selected mRNA
SRR18158456,46324186,4632418600,100,2802,SRX14305949,GSM5919968,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122749,SAMN26287193,simple,10090,Mus musculus,GSM5919968,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.hs_8M_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Heat stress (42°C, 8h)",1,PolyA-selected mRNA
SRR18158455,37488956,3748895600,100,2270,SRX14305950,GSM5919969,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122750,SAMN26287192,simple,10090,Mus musculus,GSM5919969,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.hs_8M_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Heat stress (42°C, 8h)",2,PolyA-selected mRNA
SRR18158454,50719887,5071988700,100,3057,SRX14305951,GSM5919970,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122751,SAMN26287191,simple,10090,Mus musculus,GSM5919970,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.hs_ctrl_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,Control for heat stress,1,PolyA-selected mRNA
SRR18158453,41618071,4161807100,100,2542,SRX14305952,GSM5919971,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122752,SAMN26287190,simple,10090,Mus musculus,GSM5919971,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.hs_ctrl_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,Control for heat stress,2,PolyA-selected mRNA
SRR18158452,30368620,2914465078,95,1683,SRX14305953,GSM5919972,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122753,SAMN26287189,simple,10090,Mus musculus,GSM5919972,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.kcl_2h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 2h)",1,PolyA-selected mRNA
SRR18158451,34231641,2806994562,82,1260,SRX14305954,GSM5919973,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122754,SAMN26287188,simple,10090,Mus musculus,GSM5919973,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.kcl_2h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 2h)",2,PolyA-selected mRNA
SRR18158450,35872528,3587252800,100,2187,SRX14305955,GSM5919974,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122755,SAMN26287187,simple,10090,Mus musculus,GSM5919974,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.kcl_7h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 7h)",1,PolyA-selected mRNA
SRR18158449,29047046,2904704600,100,1791,SRX14305956,GSM5919975,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP361690,PRJNA810853,36505935,"",SRS12122756,SAMN26287186,simple,10090,Mus musculus,GSM5919975,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,RNA.kcl_7h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 7h)",2,PolyA-selected mRNA
SRR18158448,23814836,976408276,41,364,SRX14305957,GSM5919976,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122757,SAMN26287185,simple,10090,Mus musculus,GSM5919976,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.h2o2_2h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 2h)",1,Ribosome protected mRNA footprint
SRR18158447,28078106,1151202346,41,421,SRX14305958,GSM5919977,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122758,SAMN26287184,simple,10090,Mus musculus,GSM5919977,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.h2o2_2h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 2h)",2,Ribosome protected mRNA footprint
SRR18158446,22464532,921045812,41,337,SRX14305959,GSM5919978,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122759,SAMN26287183,simple,10090,Mus musculus,GSM5919978,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.h2o2_7h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 7h)",1,Ribosome protected mRNA footprint
SRR18158445,28641870,1174316670,41,431,SRX14305960,GSM5919979,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122760,SAMN26287182,simple,10090,Mus musculus,GSM5919979,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.h2o2_7h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Oxidative stress (H2O2, 7h)",2,Ribosome protected mRNA footprint
SRR18158444,16589401,1343517313,80,570,SRX14305961,GSM5919980,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122761,SAMN26287181,simple,10090,Mus musculus,GSM5919980,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.h2o2_FP.kcl_ctrl_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,Control for H2O2 and KCl,1,Ribosome protected mRNA footprint
SRR18158443,25418348,2057738134,80,919,SRX14305962,GSM5919981,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122762,SAMN26287180,simple,10090,Mus musculus,GSM5919981,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.h2o2_FP.kcl_ctrl_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,Control for H2O2 and KCl,2,Ribosome protected mRNA footprint
SRR18158442,20520907,841357187,41,308,SRX14305963,GSM5919982,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122763,SAMN26287179,simple,10090,Mus musculus,GSM5919982,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.kcl_2h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 2h)",1,Ribosome protected mRNA footprint
SRR18158441,27788354,1139322514,41,416,SRX14305964,GSM5919983,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122764,SAMN26287178,simple,10090,Mus musculus,GSM5919983,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.kcl_2h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 2h)",2,Ribosome protected mRNA footprint
SRR18158440,18175826,745208866,41,278,SRX14305965,GSM5919984,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122765,SAMN26287177,simple,10090,Mus musculus,GSM5919984,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.kcl_7h_1,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 7h)",1,Ribosome protected mRNA footprint
SRR18158439,26267205,1076955405,41,394,SRX14305966,GSM5919985,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP361690,PRJNA810853,36505935,"",SRS12122766,SAMN26287176,simple,10090,Mus musculus,GSM5919985,"Faculty of Medicine, Technion",SRA1378420,10,2022,Hadar,NIH3T3 cells,FP.kcl_7h_2,NIH3T3 cells,Mouse embryonic fibroblasts NIH3T3,"Osmotic stress (KCl, 7h)",2,Ribosome protected mRNA footprint
