Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,replicate,cultivar,dev_stage,geo_loc_name,tissue,collection_date,BioSampleModel
SRR14340960,10459316,294123541,28,133,SRX10694812,Omh63_leaf_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786179,SAMN18901833,simple,4530,Oryza sativa,Omh63_leaf_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",MH63 leaf batch 1 rep 1,1,Oryza sativa ssp. Indica MH63,Young leaf,China: Wuhan,Young leaf,2019-03-08,Plant
SRR14340959,13752767,415001301,30,177,SRX10694813,Omh63_leaf_Ribo_B2_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786180,SAMN18901834,simple,4530,Oryza sativa,Omh63_leaf_Ribo_B2_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",MH63 leaf batch 2 rep 1,2,Oryza sativa ssp. Indica MH63,Young leaf,China: Wuhan,Young leaf,2020-06-01,Plant
SRR14340958,13039663,340151012,26,154,SRX10694814,Osy63_root_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786181,SAMN18901843,simple,4530,Oryza sativa,Osy63_root_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",SY63 root batch 1 rep 1,1,Oryza sativa ssp. Indica SY63,Root,China: Wuhan,Root,2019-03-08,Plant
SRR14340957,12592951,329594607,26,148,SRX10694815,Osy63_root_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786182,SAMN18901844,simple,4530,Oryza sativa,Osy63_root_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",SY63 root batch 1 rep 2,2,Oryza sativa ssp. Indica SY63,Root,China: Wuhan,Root,2019-03-08,Plant
SRR14340956,11820833,327079677,27,143,SRX10694816,Ozs97_leaf_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786183,SAMN18901845,simple,4530,Oryza sativa,Ozs97_leaf_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 leaf batch 1 rep 1,1,Oryza sativa ssp. Indica ZS97,Young leaf,China: Wuhan,Young leaf,2019-03-08,Plant
SRR14340955,14207960,396625420,27,175,SRX10694817,Ozs97_leaf_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786184,SAMN18901846,simple,4530,Oryza sativa,Ozs97_leaf_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 leaf batch 1 rep 2,2,Oryza sativa ssp. Indica ZS97,Young leaf,China: Wuhan,Young leaf,2019-03-08,Plant
SRR14340954,11673597,318547409,27,142,SRX10694818,Ozs97_panicle_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786185,SAMN18901847,simple,4530,Oryza sativa,Ozs97_panicle_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 panicle batch 1 rep 1,1,Oryza sativa ssp. Indica ZS97,Panicle,China: Wuhan,Panicle,2019-03-08,Plant
SRR14340953,10440130,286144048,27,132,SRX10694819,Ozs97_panicle_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786186,SAMN18901848,simple,4530,Oryza sativa,Ozs97_panicle_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 panicle batch 1 rep 1,2,Oryza sativa ssp. Indica ZS97,Panicle,China: Wuhan,Panicle,2019-03-08,Plant
SRR14340952,11564007,307069678,26,141,SRX10694820,Ozs97_root_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786187,SAMN18901849,simple,4530,Oryza sativa,Ozs97_root_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 root batch 1 rep 1,1,Oryza sativa ssp. Indica ZS97,Root,China: Wuhan,Root,2019-03-08,Plant
SRR14340951,13062696,347644440,26,159,SRX10694821,Ozs97_root_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786188,SAMN18901850,simple,4530,Oryza sativa,Ozs97_root_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 root batch 1 rep 2,2,Oryza sativa ssp. Indica ZS97,Root,China: Wuhan,Root,2019-03-08,Plant
SRR14340950,6391933,179574001,28,75,SRX10694822,Ozs97_root_Ribo_B2_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786189,SAMN18901851,simple,4530,Oryza sativa,Ozs97_root_Ribo_B2_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",ZS97 root batch 2 rep 1,3,Oryza sativa ssp. Indica ZS97,Root,China: Wuhan,Root,2020-06-01,Plant
SRR14340949,13940847,373991944,26,167,SRX10694823,Omh63_panicle_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786190,SAMN18901835,simple,4530,Oryza sativa,Omh63_panicle_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",MH63 panicle batch 1 rep 1,1,Oryza sativa ssp. Indica MH63,Panicle,China: Wuhan,Panicle,2019-03-08,Plant
SRR14340948,11794587,317094694,26,141,SRX10694824,Omh63_panicle_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786191,SAMN18901836,simple,4530,Oryza sativa,Omh63_panicle_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",MH63 panicle batch 1 rep 1,2,Oryza sativa ssp. Indica MH63,Panicle,China: Wuhan,Panicle,2019-03-08,Plant
SRR14340947,13468204,356043403,26,156,SRX10694825,Omh63_root_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786192,SAMN18901837,simple,4530,Oryza sativa,Omh63_root_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",MH63 root batch 1 rep 1,1,Oryza sativa ssp. Indica MH63,Root,China: Wuhan,Root,2019-03-08,Plant
SRR14340946,18577987,493816380,26,212,SRX10694826,Omh63_root_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786193,SAMN18901838,simple,4530,Oryza sativa,Omh63_root_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",MH63 root batch 1 rep 2,2,Oryza sativa ssp. Indica MH63,Root,China: Wuhan,Root,2019-03-08,Plant
SRR14340945,10635934,309909449,29,136,SRX10694827,Osy63_leaf_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786194,SAMN18901839,simple,4530,Oryza sativa,Osy63_leaf_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",SY63 leaf batch 1 rep 1,1,Oryza sativa ssp. Indica SY63,Young leaf,China: Wuhan,Young leaf,2019-03-08,Plant
SRR14340944,14409140,414921967,28,172,SRX10694828,Osy63_leaf_Ribo_B2_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786195,SAMN18901840,simple,4530,Oryza sativa,Osy63_leaf_Ribo_B2_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",SY63 leaf batch 2 rep 1,2,Oryza sativa ssp. Indica SY63,Young leaf,China: Wuhan,Young leaf,2020-06-01,Plant
SRR14340943,11623766,307940485,26,127,SRX10694829,Osy63_panicle_Ribo_B1_R1,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786196,SAMN18901841,simple,4530,Oryza sativa,Osy63_panicle_Ribo_B1_R1,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",SY63 panicle batch 1 rep 1,1,Oryza sativa ssp. Indica SY63,Panicle,China: Wuhan,Panicle,2019-03-08,Plant
SRR14340942,10787556,285270222,26,128,SRX10694830,Osy63_panicle_Ribo_B1_R2,OTHER,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP316694,PRJNA725700,1,"",SRS8786197,SAMN18901842,simple,4530,Oryza sativa,Osy63_panicle_Ribo_B1_R2,Huazhong Agricultural University,SRA1224806,08,2021,Makar,"",SY63 panicle batch 1 rep 1,2,Oryza sativa ssp. Indica SY63,Panicle,China: Wuhan,Panicle,2019-03-08,Plant
