Run,BioProject
ERR2812353,PRJEB28810
ERR2812354,PRJEB28810
ERR2812358,PRJEB28810
ERR2812359,PRJEB28810
ERR2812360,PRJEB28810
ERR2812364,PRJEB28810
ERR2812365,PRJEB28810
ERR2812366,PRJEB28810
ERR2812370,PRJEB28810
ERR2812371,PRJEB28810
ERR2812372,PRJEB28810
ERR2812376,PRJEB28810
ERR2812377,PRJEB28810
ERR2812378,PRJEB28810
ERR2812382,PRJEB28810
ERR2812383,PRJEB28810
ERR2812384,PRJEB28810
ERR2812388,PRJEB28810
ERR2812389,PRJEB28810
ERR2812390,PRJEB28810
ERR2812394,PRJEB28810
ERR2812395,PRJEB28810
ERR2812396,PRJEB28810
ERR2812400,PRJEB28810
ERR2812401,PRJEB28810
ERR2812402,PRJEB28810
ERR2812406,PRJEB28810
ERR2812407,PRJEB28810
ERR2812408,PRJEB28810
ERR2812412,PRJEB28810
ERR2812413,PRJEB28810
ERR2812414,PRJEB28810
ERR2812418,PRJEB28810
ERR2812419,PRJEB28810
ERR2812420,PRJEB28810
ERR2812424,PRJEB28810
ERR2812425,PRJEB28810
ERR2812426,PRJEB28810
ERR2812430,PRJEB28810
ERR2812431,PRJEB28810
ERR2812432,PRJEB28810
ERR2812436,PRJEB28810
ERR2812437,PRJEB28810
ERR2812440,PRJEB28810
ERR2812441,PRJEB28810
ERR3771179,PRJEB28810
ERR3771180,PRJEB28810
ERR3771183,PRJEB28810
ERR3771184,PRJEB28810
ERR3771187,PRJEB28810
ERR3771188,PRJEB28810
ERR3771191,PRJEB28810
ERR3771192,PRJEB28810
ERR3218426,PRJEB31666
ERR3218427,PRJEB31666
ERR3218430,PRJEB31666
ERR3218431,PRJEB31666
ERR3218434,PRJEB31666
ERR3218435,PRJEB31666
ERR3218438,PRJEB31666
ERR3218439,PRJEB31666
ERR3225410,PRJEB31750
ERR3225411,PRJEB31750
ERR3225412,PRJEB31750
ERR3225416,PRJEB31750
ERR3225417,PRJEB31750
ERR3225418,PRJEB31750
ERR3276516,PRJEB32121
ERR3276518,PRJEB32121
ERR3276522,PRJEB32121
ERR3276523,PRJEB32121
ERR3276525,PRJEB32121
ERR3276527,PRJEB32121
ERR3765688,PRJEB35858
ERR3765689,PRJEB35858
ERR3765690,PRJEB35858
ERR3765691,PRJEB35858
ERR3765692,PRJEB35858
ERR3765693,PRJEB35858
ERR3765694,PRJEB35858
ERR3765695,PRJEB35858
ERR3765696,PRJEB35858
ERR3765697,PRJEB35858
ERR3765698,PRJEB35858
ERR3765699,PRJEB35858
ERR3804289,PRJEB36134
ERR3804290,PRJEB36134
ERR3804291,PRJEB36134
ERR3804292,PRJEB36134
ERR3804293,PRJEB36134
ERR3804294,PRJEB36134
ERR3804295,PRJEB36134
ERR3804296,PRJEB36134
ERR3804297,PRJEB36134
ERR3804298,PRJEB36134
ERR3804299,PRJEB36134
ERR3804300,PRJEB36134
ERR3804301,PRJEB36135
ERR3804302,PRJEB36135
ERR3804303,PRJEB36135
ERR3804304,PRJEB36135
ERR3823822,PRJEB36274
ERR3823823,PRJEB36274
ERR3823824,PRJEB36274
ERR3823825,PRJEB36274
ERR3823826,PRJEB36274
ERR3823827,PRJEB36274
ERR3823828,PRJEB36274
ERR3823829,PRJEB36274
ERR3823830,PRJEB36274
ERR3823831,PRJEB36274
ERR3823832,PRJEB36274
ERR3823833,PRJEB36274
ERR3850586,PRJEB36467
ERR3850587,PRJEB36467
ERR3850588,PRJEB36467
ERR3850589,PRJEB36467
ERR3850590,PRJEB36467
ERR3850591,PRJEB36467
ERR3850592,PRJEB36467
ERR3850593,PRJEB36467
ERR3850594,PRJEB36467
ERR3850595,PRJEB36467
ERR3850596,PRJEB36467
ERR3850597,PRJEB36467
ERR3850610,PRJEB36468
ERR3850611,PRJEB36468
ERR3850612,PRJEB36468
ERR3850613,PRJEB36468
ERR3850614,PRJEB36468
ERR3850615,PRJEB36468
ERR3850616,PRJEB36468
ERR3850617,PRJEB36468
ERR3850618,PRJEB36468
ERR3850619,PRJEB36468
ERR3850620,PRJEB36468
ERR3850621,PRJEB36468
ERR3850905,PRJEB36473
ERR3850906,PRJEB36473
ERR3850907,PRJEB36473
ERR3850908,PRJEB36473
ERR3850909,PRJEB36473
ERR3850910,PRJEB36473
ERR3850911,PRJEB36473
ERR3850912,PRJEB36473
ERR3850913,PRJEB36473
ERR3850914,PRJEB36473
ERR3850915,PRJEB36473
ERR3850916,PRJEB36473
ERR3949729,PRJEB36893
ERR3949730,PRJEB36893
ERR3949731,PRJEB36893
ERR3949732,PRJEB36893
ERR3949734,PRJEB36893
ERR3949735,PRJEB36893
ERR3949745,PRJEB36893
ERR3949746,PRJEB36893
ERR3949747,PRJEB36893
ERR3949748,PRJEB36893
ERR3949749,PRJEB36893
ERR3949750,PRJEB36893
ERR3949751,PRJEB36893
ERR3949752,PRJEB36893
ERR3949753,PRJEB36893
ERR3949754,PRJEB36893
ERR3949755,PRJEB36893
ERR3949756,PRJEB36893
ERR3949759,PRJEB36893
ERR3949760,PRJEB36893
ERR3949769,PRJEB36893
ERR3949770,PRJEB36893
ERR3949771,PRJEB36893
ERR3949772,PRJEB36893
ERR3949773,PRJEB36893
ERR3949774,PRJEB36893
ERR3949775,PRJEB36893
ERR3949776,PRJEB36893
ERR3949804,PRJEB36893
ERR3949805,PRJEB36893
ERR3949806,PRJEB36893
ERR3949807,PRJEB36893
ERR3949808,PRJEB36893
ERR3949809,PRJEB36893
ERR3949810,PRJEB36893
ERR3949811,PRJEB36893
ERR3949820,PRJEB36893
ERR3949821,PRJEB36893
ERR3949822,PRJEB36893
ERR3949823,PRJEB36893
ERR3949824,PRJEB36893
ERR3949825,PRJEB36893
ERR3949826,PRJEB36893
ERR3949827,PRJEB36893
ERR3949828,PRJEB36893
ERR3949829,PRJEB36893
ERR3949830,PRJEB36893
ERR3949831,PRJEB36893
ERR3949832,PRJEB36893
ERR3949833,PRJEB36893
ERR3949834,PRJEB36893
ERR3949835,PRJEB36893
ERR3949844,PRJEB36893
ERR3949845,PRJEB36893
ERR3949846,PRJEB36893
ERR3949847,PRJEB36893
ERR3949848,PRJEB36893
ERR3949849,PRJEB36893
ERR3949850,PRJEB36893
ERR3949851,PRJEB36893
ERR4164643,PRJEB38391
ERR4164644,PRJEB38391
ERR4164645,PRJEB38391
ERR4164646,PRJEB38391
ERR4164647,PRJEB38391
ERR4164648,PRJEB38391
ERR4342736,PRJEB39403
ERR4342737,PRJEB39403
ERR4342738,PRJEB39403
ERR4777060,PRJEB41027
ERR4777061,PRJEB41027
ERR4777062,PRJEB41027
ERR4777063,PRJEB41027
ERR4777064,PRJEB41027
ERR4777065,PRJEB41027
ERR5211760,PRJEB42778
ERR5211761,PRJEB42778
ERR5211762,PRJEB42778
ERR5211763,PRJEB42778
ERR5211764,PRJEB42778
ERR5211765,PRJEB42778
ERR5211766,PRJEB42778
ERR5211767,PRJEB42778
ERR5211768,PRJEB42778
ERR5211769,PRJEB42778
ERR5211770,PRJEB42778
ERR6133623,PRJEB45612
ERR6133624,PRJEB45612
ERR6133650,PRJEB45612
ERR6133651,PRJEB45612
ERR6133652,PRJEB45612
ERR6133653,PRJEB45612
ERR6133654,PRJEB45612
ERR6133655,PRJEB45612
ERR6133656,PRJEB45612
ERR6133657,PRJEB45612
ERR6109836,PRJEB45876
ERR6109837,PRJEB45876
ERR6109838,PRJEB45876
ERR6109839,PRJEB45876
ERR6109840,PRJEB45876
ERR6109841,PRJEB45876
ERR6109842,PRJEB45876
ERR6109843,PRJEB45876
ERR6109844,PRJEB45876
ERR6109845,PRJEB45876
ERR6109846,PRJEB45876
ERR6109847,PRJEB45876
ERR6109848,PRJEB45876
ERR6109849,PRJEB45876
ERR6109850,PRJEB45876
ERR6109851,PRJEB45876
ERR6109852,PRJEB45876
ERR6109853,PRJEB45876
ERR6109854,PRJEB45876
ERR6109855,PRJEB45876
ERR6109856,PRJEB45876
ERR6109857,PRJEB45876
ERR6109858,PRJEB45876
ERR6109859,PRJEB45876
ERR6109860,PRJEB45876
ERR6109861,PRJEB45876
ERR6109862,PRJEB45876
ERR6109863,PRJEB45876
ERR6109864,PRJEB45876
ERR6109865,PRJEB45876
ERR6109866,PRJEB45876
ERR6548319,PRJEB47140
ERR6548320,PRJEB47140
ERR6548321,PRJEB47140
ERR391719,PRJEB4801
ERR391720,PRJEB4801
ERR391722,PRJEB4801
ERR391723,PRJEB4801
ERR392088,PRJEB5136
ERR392085,PRJEB5136
ERR392086,PRJEB5136
ERR392516,PRJEB5150
ERR392517,PRJEB5150
ERR392523,PRJEB5150
ERR392528,PRJEB5150
ERR392525,PRJEB5150
ERR392515,PRJEB5150
ERR392518,PRJEB5150
ERR414807,PRJEB5263
ERR414802,PRJEB5263
ERR414804,PRJEB5263
ERR9951986,PRJEB54714
ERR9951989,PRJEB54714
ERR9951988,PRJEB54714
ERR9951987,PRJEB54714
ERR10323162,PRJEB56594
ERR10323163,PRJEB56594
ERR10323164,PRJEB56594
ERR10323165,PRJEB56594
ERR10323166,PRJEB56594
ERR10323167,PRJEB56594
ERR10323168,PRJEB56594
ERR10323169,PRJEB56594
ERR10323170,PRJEB56594
ERR10323171,PRJEB56594
ERR10323172,PRJEB56594
ERR10323173,PRJEB56594
ERR10323174,PRJEB56594
ERR10323175,PRJEB56594
ERR10323176,PRJEB56594
ERR10323177,PRJEB56594
ERR10323178,PRJEB56594
ERR10323179,PRJEB56594
ERR10323180,PRJEB56594
ERR10323181,PRJEB56594
ERR10323182,PRJEB56594
ERR10323183,PRJEB56594
ERR10323184,PRJEB56594
ERR10323185,PRJEB56594
ERR10323186,PRJEB56594
ERR10323187,PRJEB56594
ERR10323188,PRJEB56594
ERR10323189,PRJEB56594
ERR10323190,PRJEB56594
ERR10323191,PRJEB56594
ERR10323192,PRJEB56594
ERR10323193,PRJEB56594
ERR10323194,PRJEB56594
ERR10323195,PRJEB56594
ERR10323196,PRJEB56594
ERR10323197,PRJEB56594
ERR10323198,PRJEB56594
ERR10323199,PRJEB56594
ERR10323200,PRJEB56594
ERR10323201,PRJEB56594
ERR10323202,PRJEB56594
ERR10323203,PRJEB56594
ERR10323204,PRJEB56594
ERR10323205,PRJEB56594
ERR10323206,PRJEB56594
ERR10323207,PRJEB56594
ERR10323208,PRJEB56594
ERR10323209,PRJEB56594
ERR10323210,PRJEB56594
ERR10323211,PRJEB56594
ERR10323212,PRJEB56594
ERR599190,PRJEB7261
ERR599192,PRJEB7261
ERR601608,PRJEB7276
ERR601610,PRJEB7276
ERR605044,PRJEB7282
ERR605045,PRJEB7282
ERR605046,PRJEB7282
ERR618775,PRJEB7301
ERR618773,PRJEB7301
ERR618768,PRJEB7301
ERR618769,PRJEB7301
ERR618772,PRJEB7301
ERR618774,PRJEB7301
ERR618771,PRJEB7301
ERR618770,PRJEB7301
ERR894498,PRJEB9417
SRR074359,PRJNA142427
SRR074360,PRJNA142427
SRR074361,PRJNA142427
SRR074362,PRJNA142427
SRR074363,PRJNA142427
SRR074364,PRJNA142427
SRR074365,PRJNA142427
SRR074366,PRJNA142427
SRR074367,PRJNA142427
SRR074368,PRJNA142427
SRR074369,PRJNA142427
SRR074370,PRJNA142427
SRR074371,PRJNA142427
SRR074372,PRJNA142427
SRR074373,PRJNA142427
SRR074374,PRJNA142427
SRR074375,PRJNA142427
SRR074376,PRJNA142427
SRR315597,PRJNA144149
SRR315598,PRJNA144149
SRR315599,PRJNA144149
SRR315600,PRJNA144149
SRR315601,PRJNA144149
SRR315602,PRJNA144149
SRR315603,PRJNA144149
SRR315604,PRJNA144149
SRR315605,PRJNA144149
SRR315606,PRJNA144149
SRR315607,PRJNA144149
SRR315608,PRJNA144149
SRR315609,PRJNA144149
SRR315610,PRJNA144149
SRR315611,PRJNA144149
SRR315612,PRJNA144149
SRR315613,PRJNA144149
SRR315614,PRJNA144149
SRR315615,PRJNA144149
SRR315616,PRJNA144149
SRR315617,PRJNA144149
SRR315618,PRJNA144149
SRR315619,PRJNA144149
SRR315620,PRJNA144149
SRR315621,PRJNA144149
SRR315622,PRJNA144149
SRR315623,PRJNA144149
SRR315624,PRJNA144149
SRR315625,PRJNA144149
SRR315626,PRJNA144149
SRR315627,PRJNA144149
SRR648666,PRJNA147613
SRR648667,PRJNA147613
SRR648668,PRJNA147613
SRR648669,PRJNA147613
SRR648670,PRJNA147613
SRR649752,PRJNA147613
SRR649754,PRJNA147613
SRR649755,PRJNA147613
SRR649756,PRJNA147613
SRR649757,PRJNA147613
SRR649758,PRJNA147613
SRR392976,PRJNA150397
SRR392977,PRJNA150397
SRR392978,PRJNA150397
SRR392979,PRJNA150397
SRR392980,PRJNA150397
SRR392981,PRJNA150397
SRR392982,PRJNA150397
SRR392983,PRJNA150397
SRR392984,PRJNA150397
SRR392985,PRJNA150397
SRR392986,PRJNA150397
SRR392987,PRJNA150397
SRR392988,PRJNA150397
SRR392989,PRJNA150397
SRR392990,PRJNA150397
SRR392991,PRJNA150397
SRR392992,PRJNA150397
SRR392993,PRJNA150397
SRR392994,PRJNA150397
SRR392995,PRJNA150397
SRR392996,PRJNA150397
SRR392997,PRJNA150397
SRR392998,PRJNA150397
SRR392999,PRJNA150397
SRR393000,PRJNA150397
SRR393001,PRJNA150397
SRR393002,PRJNA150397
SRR393003,PRJNA150397
SRR393004,PRJNA150397
SRR393005,PRJNA150397
SRR393006,PRJNA150397
SRR393007,PRJNA150397
SRR393008,PRJNA150397
SRR393009,PRJNA150397
SRR403883,PRJNA152347
SRR403885,PRJNA152347
SRR403887,PRJNA152347
SRR403889,PRJNA152347
SRR403891,PRJNA152347
SRR403893,PRJNA152347
SRR407274,PRJNA152495
SRR407275,PRJNA152495
SRR407276,PRJNA152495
SRR407277,PRJNA152495
SRR407278,PRJNA152495
SRR407279,PRJNA152495
SRR407280,PRJNA152495
SRR407281,PRJNA152495
SRR407282,PRJNA152495
SRR407283,PRJNA152495
SRR389608,PRJNA156379
SRR389609,PRJNA156379
SRR389612,PRJNA156379
SRR389613,PRJNA156379
SRR389614,PRJNA156379
SRR389615,PRJNA156379
SRR389616,PRJNA156379
SRR389617,PRJNA156379
SRR458756,PRJNA158351
SRR458757,PRJNA158351
SRR618770,PRJNA171327
SRR618772,PRJNA171327
SRR618771,PRJNA171327
SRR618773,PRJNA171327
SRR618774,PRJNA171327
SRR618775,PRJNA171327
SRR533660,PRJNA172014
SRR533661,PRJNA172014
SRR533662,PRJNA172014
SRR533663,PRJNA172014
SRR533665,PRJNA172014
SRR533666,PRJNA172014
SRR533667,PRJNA172014
SRR533668,PRJNA172014
SRR544881,PRJNA173092
SRR594900,PRJNA177820
SRR594901,PRJNA177820
SRR594902,PRJNA177820
SRR594903,PRJNA177820
SRR1190356,PRJNA177820
SRR1190357,PRJNA177820
SRR1190358,PRJNA177820
SRR1190359,PRJNA177820
SRR606201,PRJNA178171
SRR606202,PRJNA178171
SRR606203,PRJNA178171
SRR606204,PRJNA178171
SRR606205,PRJNA178171
SRR652152,PRJNA187087
SRR652153,PRJNA187087
SRR974752,PRJNA187087
SRR974753,PRJNA187087
SRR788070,PRJNA193543
SRR788071,PRJNA193543
SRR788072,PRJNA193543
SRR788073,PRJNA193543
SRR788074,PRJNA193543
SRR788075,PRJNA193543
SRR788076,PRJNA193543
SRR788077,PRJNA193543
SRR1029594,PRJNA198514
SRR1029596,PRJNA198514
SRR1029598,PRJNA198514
SRR1029600,PRJNA198514
SRR836192,PRJNA200706
SRR836193,PRJNA200706
SRR836194,PRJNA200706
SRR836195,PRJNA200706
SRR836196,PRJNA200706
SRR836197,PRJNA200706
SRR836198,PRJNA200706
SRR836199,PRJNA200706
SRR870722,PRJNA206070
SRR870723,PRJNA206070
SRR870724,PRJNA206070
SRR870725,PRJNA206070
SRR870726,PRJNA206070
SRR870727,PRJNA206070
SRR870728,PRJNA206070
SRR870729,PRJNA206070
SRR870730,PRJNA206070
SRR870731,PRJNA206070
SRR870732,PRJNA206070
SRR870733,PRJNA206070
SRR870734,PRJNA206070
SRR870735,PRJNA206070
SRR870736,PRJNA206070
SRR870737,PRJNA206070
SRR870738,PRJNA206070
SRR870739,PRJNA206070
SRR870740,PRJNA206070
SRR870741,PRJNA206070
SRR870742,PRJNA206070
SRR870743,PRJNA206070
SRR870744,PRJNA206070
SRR870745,PRJNA206070
SRR870746,PRJNA206070
SRR870758,PRJNA206070
SRR870759,PRJNA206070
SRR870760,PRJNA206070
SRR870761,PRJNA206070
SRR870794,PRJNA206070
SRR870795,PRJNA206070
SRR870796,PRJNA206070
SRR870797,PRJNA206070
SRR870830,PRJNA206070
SRR870831,PRJNA206070
SRR870832,PRJNA206070
SRR870833,PRJNA206070
SRR870866,PRJNA206070
SRR870867,PRJNA206070
SRR870868,PRJNA206070
SRR870869,PRJNA206070
SRR870902,PRJNA206070
SRR870903,PRJNA206070
SRR870904,PRJNA206070
SRR870905,PRJNA206070
SRR870938,PRJNA206070
SRR870939,PRJNA206070
SRR870940,PRJNA206070
SRR870941,PRJNA206070
SRR870974,PRJNA206070
SRR870975,PRJNA206070
SRR870976,PRJNA206070
SRR870977,PRJNA206070
SRR959336,PRJNA206070
SRR959337,PRJNA206070
SRR959338,PRJNA206070
SRR959339,PRJNA206070
SRR959372,PRJNA206070
SRR959373,PRJNA206070
SRR10295266,PRJNA206070
SRR914334,PRJNA208993
SRR914335,PRJNA208993
SRR914336,PRJNA208993
SRR914337,PRJNA208993
SRR914338,PRJNA208993
SRR914339,PRJNA208993
SRR914346,PRJNA208993
SRR914347,PRJNA208993
SRR914348,PRJNA208993
SRR914349,PRJNA208993
SRR914350,PRJNA208993
SRR914351,PRJNA208993
SRR914358,PRJNA208993
SRR914359,PRJNA208993
SRR914360,PRJNA208993
SRR914361,PRJNA208993
SRR914362,PRJNA208993
SRR914363,PRJNA208993
SRR914370,PRJNA208993
SRR914371,PRJNA208993
SRR914372,PRJNA208993
SRR914373,PRJNA208993
SRR914374,PRJNA208993
SRR914375,PRJNA208993
SRR1827830,PRJNA209566
SRR1827831,PRJNA209566
SRR1827832,PRJNA209566
SRR1827833,PRJNA209566
SRR1827838,PRJNA209566
SRR1827839,PRJNA209566
SRR1827840,PRJNA209566
SRR1827841,PRJNA209566
SRR1827842,PRJNA209566
SRR1827843,PRJNA209566
SRR1827844,PRJNA209566
SRR1827845,PRJNA209566
SRR1827846,PRJNA209566
SRR1827847,PRJNA209566
SRR1827848,PRJNA209566
SRR1827849,PRJNA209566
SRR1827850,PRJNA209566
